Title,Date,Ranking,Cover Art,Song Titles,Authors,Last Week Position,Peak Position,Weeks On Chart
Billboard Hot 100™,"August 24, 2024",91,https://charts-static.billboard.com/img/2024/03/baileyzimmerman-qt3-holysmokes-q2c-180x180.jpg,Holy Smokes,Bailey Zimmerman,-,54,5
Billboard Hot 100™,"August 24, 2024",92,https://charts-static.billboard.com/img/2024/07/latto-80q-bigmama-wb7-180x180.jpg,Big Mama,Latto,-,92,1
Billboard Hot 100™,"August 24, 2024",93,https://charts-static.billboard.com/img/2014/12/drew-baldridge-y5q-180x180.jpg,She's Somebody's Daughter (Reimagined),Drew Baldridge,-,93,1
Billboard Hot 100™,"August 24, 2024",94,https://charts-static.billboard.com/img/2022/09/icespice-ouz-180x180.jpg,Did It First,Ice Spice & Central Cee,65,51,5
Billboard Hot 100™,"August 24, 2024",95,https://charts-static.billboard.com/img/2024/05/kendrick-lamar-atc-euphoria-bza-180x180.jpg,Euphoria,Kendrick Lamar,92,3,16
Billboard Hot 100™,"August 24, 2024",96,https://charts-static.billboard.com/img/2024/07/sevdaliza-jrq-alibi-bsr-180x180.jpg,Alibi,"Sevdaliza, Pabllo Vittar & Yseult",96,95,4
Billboard Hot 100™,"August 24, 2024",97,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,Residuals,Chris Brown,-,97,1
Billboard Hot 100™,"August 24, 2024",98,https://charts-static.billboard.com/img/2024/03/tuckerwetmore-cvz-wineintowhiskey-n1n-180x180.jpg,Wine Into Whiskey,Tucker Wetmore,98,68,20
Billboard Hot 100™,"August 24, 2024",99,https://charts-static.billboard.com/img/2024/05/jt-000-okay-ny4-180x180.jpg,Okay,JT,-,72,6
Billboard Hot 100™,"August 24, 2024",100,https://charts-static.billboard.com/img/2024/07/mustard-000-parkinglot-pdp-180x180.jpg,Parking Lot,Mustard & Travis Scott,97,57,5
